journal	year	authors	title	language	wordcount	doctype	doi	citation_counts	S2titles	S2years	condition	matchstrength	S2journal	S2authors	new_cite_count
Modern Philology	1941	['Alrik Gustafson']	Review Article	['eng']	739	article | book-review	10.2307/434174	0		no date	not citable	0.0	NA	NA	0
Modern Philology	2009	['Catherine Brown']	Love Letters from Beatus of Liébana to Modern Philologists	['eng']	10686	article | research-article	10.1086/598693	2	Love Letters from Beatus of Liébana to Modern Philologists*	2009-05-01	already found	0.0	NA	NA	2
ELH	2008	['Sharon B. Oster']	"The Shop of Curiosities: Henry James, ""The Jew,"" and the Production of Value"	['eng']	13488	article | research-article	10.2307/27654644	0	The Shop of Curiosities: Henry James, “the Jew,” and the Production of Value	2008	found	1.08	ELH	Sharon B. Oster	3
Modern Philology	1906	['F. N. Robinson']	"A Note on the Sources of the Old Saxon ""Genesis"""	['eng']	3594	article | research-article	10.2307/432736	0	"A Note on the Sources of the Old Saxon ""Genesis"""	1906	found	1.12	Modern Philology	F. N. Robinson	1
Modern Philology	1981	['George J. Worth']	Review Article	['eng']	2342	article | book-review	10.2307/437350	0		no date	not citable	0.0	NA	NA	0
PMLA	1970	['anonymous']	Report of the South Atlantic Modern Language Association	['eng']	2981	article | misc	10.2307/1261371	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1984	['Antony Stokes']	Review Article	['eng']	1281	article | book-review	10.2307/3730409	6	The Symbolic Art of Gogol: Essays on His Short Fiction		not citable	0.0	NA	NA	6
The Modern Language Review	1929	['C. T. Onions']	"Middle English ""Ord and Ende"""	['eng']	1952	article | research-article	10.2307/3715100	0	"Middle English ""Ord and Ende"""	1929	found	1.07	no journal listed	C. Onions	0
The Review of English Studies	2016	['CHRISTOPHER NEALON']	Review Article	['eng']	1140	article | book-review	10.2307/44016509	0		no date	not citable	0.0	NA	NA	0
PMLA	1941	['Franz H. Mautner']	Lichtenbergs Anfänge in Ihren Wesenszügen	['ger']	7617	article | research-article	10.2307/458990	1	Lichtenbergs Anfänge in Ihren Wesenszügen	1941-09-01	already found	0.0	NA	NA	1
New Literary History	1978	['S. G. Bocharov', 'Ann Feltham']	The Queen of Spades	['eng']	8235	article | research-article	10.2307/468576	0	The Queen of Spades	1978	found	1.07	New Literary History	S. Bocharov	0
The Review of English Studies	1947	['James R. Sutherland']	Review Article	['eng']	413	article | book-review	10.2307/509276	0		no date	not citable	0.0	NA	NA	0
PMLA	1925	['Allison Gaw']	Actors' Names in Basic Shakespearean Texts, with Special Reference to Romeo and Juliet and Much Ado	['eng']	8985	article | research-article	10.2307/457562	6	Actors' Names In Basic Shakespearean Texts, With Special Reference To Romeo And Juliet And Much Ado	1925-09-01	already found	0.0	NA	NA	6
Modern Philology	1998	['Paul A. Cantor']	Review Article	['eng']	1417	article | book-review	10.2307/438895	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1909	['Howard Maynadier']	The Areopagus of Sidney and Spenser	['eng']	5929	article | research-article	10.2307/3713225	2	The Areopagus of Sidney and Spenser	1909-04-01	already found	0.0	NA	NA	2
The Modern Language Review	1998	['Rüdiger Görner']	Review Article	['eng']	1808	article | book-review	10.2307/3736356	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1954	['anonymous']	Editorial Note	['eng']	70	article | misc	10.2307/511338	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	2016	['CARINA BARTLEET']	Review Article	['eng']	998	article | book-review	10.2307/44016445	0		no date	not citable	0.0	NA	NA	0
Modern Philology	2007	['Nick Moschovakis']	Review Article	['eng']	2074	article | book-review	10.1086/588108	0	Shakespeare, National Poet‐Playwright. Patrick Cheney. Cambridge: Cambridge University Press, 2004. Pp. xv+319.	2007-11-01	not citable	0.0	NA	NA	0
New Literary History	2001	['anonymous']	Books Received	['eng']	905	article | misc	10.2307/20057704	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1913	['G. C. M.', 'H. O.', 'J. G. R.']	Minor Notices	['eng']	2095	article | misc	10.2307/3713138	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1955	['H. M. Margoliouth']	Review Article	['eng']	188	article | book-review	10.2307/510839	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1995	['Ian Michael']	Review Article	['eng']	2210	article | book-review	10.2307/438632	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1995	['Jo Labanyi']	Review Article	['eng']	1213	article | book-review	10.2307/3734330	23	Disorderly Eaters: Texts in Self-Empowerment	1992-09-25	not citable	0.0	NA	NA	23
Critical Inquiry	1985	['Hazel V. Carby']	"""On the Threshold of Woman's Era"": Lynching, Empire, and Sexuality in Black Feminist Theory"	['eng']	7708	article | research-article	10.2307/1343470	0	"""On the Threshold of Woman's Era"": Lynching, Empire, and Sexuality in Black Feminist Theory"	1985	found	1.12	Critical Inquiry	Hazel V. Carby	121
The Review of English Studies	2003	['Jean R. Brink']	"Materialist History of the Publication of Spenser's ""Faerie Queene"""	['eng']	15037	article | research-article	10.2307/3661532	0	Materialist History of the Publication of Spenser's Faerie Queene	2003	found	1.12	The Review of English Studies	J. Brink	8
The Modern Language Review	1989	['D. A. Wells']	Review Article	['eng']	1813	article | book-review	10.2307/3731247	15	Lexikon der mittelalterlichen Zahlenbedeutungen	1989-10-01	not citable	0.0	NA	NA	15
The Review of English Studies	1932	['Raymond Dexter Havens']	A Cancel in the Political Miscellanies	['eng']	786	article | research-article	10.2307/508839	0	A CANCEL IN THE POLITICAL MISCELLANIES	1932	found	1.12	The Review of English Studies	R. D. Havens	1
The Modern Language Review	1982	['I. W. F. Maclean']	Review Article	['eng']	1238	article | book-review	10.2307/3727545	8	Amour precieux, amour galant: essai sur la representation de l'amour dans la litterature et la societe mondaines		not citable	0.0	NA	NA	8
PMLA	1928	['Hoxie Neale Fairchild']	Additional Notes on John Johnson's Diary	['eng']	979	article | research-article	10.2307/457644	0	3. Additional Notes on John Johnson's Diary	1928	found	1.083855421686747	PMLA/Publications of the Modern Language Association of America	H. N. Fairchild	0
ELH	1988	['Jackson I. Cope']	The Progresses of Bunyan and Symon Patrick	['eng']	6431	article | research-article	10.2307/2873185	1	The Progresses of Bunyan and Symon Patrick	1988-01-23	already found	0.0	NA	NA	1
Modern Philology	1967	['Richard Tobias']	Review Article	['eng']	1428	article | book-review	10.2307/436676	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1909	['Alfred Allan Kern']	"Deschamps' ""Thuireval"""	['eng']	2715	article | research-article	10.2307/432584	0	"Deschamps' ""Thuireval"""	1909	found	1.12	Modern Philology	A. Kern	0
The Modern Language Review	1977	['Martin Durrell']	Review Article	['eng']	538	article | book-review	10.2307/3724686	0		no date	not citable	0.0	NA	NA	0
PMLA	1958	['Francis Manley']	Swift Marginalia in Howell's Medulla Historiae Anglicanae	['eng']	3398	article | research-article	10.2307/460252	1	Swift Marginalia in Howell's Medulla Historiae Anglicanae	1958-09-01	already found	0.0	NA	NA	1
The Review of English Studies	2004	['Isabella Wheater']	Review Article	['eng']	2937	article | book-review	10.2307/3661394	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1996	['Brian Keith-Smith']	Review Article	['eng']	1132	article | book-review	10.2307/3735099	0	Review of Moderne Literatur in Grundbegriffen by D. Borchmeyer & V. Ymegac	1996-04-01	not citable	0.0	NA	NA	0
Modern Philology	1959	['anonymous']	Front Matter	['eng']	326	article | misc	10.2307/434768	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1938	['A. Gillies']	Review Article	['eng']	1031	article | book-review	10.2307/3715441	5	Lessing : the founder of modern German literature	1938-07-01	not citable	0.0	NA	NA	5
The Modern Language Review	1996	['Macdonald Daly']	Review Article	['eng']	1207	article | book-review	10.2307/3735043	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1983	['John E. Grant']	"Shows of Mourning in the Text of Jane Austen's ""Persuasion"""	['eng']	1583	article | research-article	10.2307/437294	0	"Shows of Mourning in the Text of Jane Austen's ""Persuasion"""	1983	found	1.12	Modern Philology	J. E. Grant	1
The Modern Language Review	2004	['Helen Bridge']	Rilke and the Modern Portrait	['eng']	8284	article | research-article	10.2307/3738995	1	Rilke and the Modern Portrait	2003-07-01	already found	0.0	NA	NA	1
Critical Inquiry	1983	['anonymous']	Back Matter	['eng']	5267	article | misc	10.2307/1343413	0		no date	not citable	0.0	NA	NA	0
Modern Philology	2016	['Joshua J. Weiner']	Review Article	['eng']	1149	article | book-review	10.2307/26550054	0		no date	not citable	0.0	NA	NA	0
Critical Inquiry	1991	['Marie-Hélène Huet']	Monstrous Imagination: Progeny as Art in French Classicism	['eng']	9814	article | research-article	10.2307/1343740	0	Monstrous Imagination: Progeny as Art in French Classicism	1991	found	1.12	Critical Inquiry	Marie-Hélène Huet	4
The Review of English Studies	1948	['William White']	Housman on Galsworthy: More Marginalia	['eng']	905	article | research-article	10.2307/511620	0	HOUSMAN ON GALSWORTHY: MORE MARGINALIA	1948	found	1.12	The Review of English Studies	W. White	1
The Modern Language Review	1963	['Margaret McHaffie']	Review Article	['eng']	600	article | book-review	10.2307/3721313	0	Jeremias Gotthelf : eine Einführung in seine Werke	1963-04-01	not citable	0.0	NA	NA	0
Critical Inquiry	1979	['anonymous']	Front Matter	['eng']	801	article | misc	10.2307/1342992	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1933	['Geoffrey Tillotson']	Review Article	['eng']	1076	article | book-review	10.2307/3714984	7	The text of King Lear		not citable	0.0	NA	NA	7
The Review of English Studies	1998	['S. J. Harrison']	Review Article	['eng']	808	article | book-review	10.2307/518626	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1981	['W. Gareth Jones']	Review Article	['eng']	1199	article | book-review	10.2307/3726491	2	Russian Literature in the Eighteenth Century: The Solemn Ode, the Epic, Other Poetic Genres, the Story, the Novel, Drama: An Introduction for University Courses	1981-04-01	not citable	0.0	NA	NA	2
The Modern Language Review	2007	['Richard Andrews']	Review Article	['eng']	1557	article | book-review	10.2307/20467594	27	A study in the commedia dell'arte, 1560-1620 : with special reference to the visual records	2006-04-24	not citable	0.0	NA	NA	27
The Modern Language Review	2008	['John C. Hirsh']	The Earliest Known English Ballad: A New Reading of 'judas'	['eng']	5434	article | research-article	10.2307/20468022	2	The Earliest Known English Ballad: A New Reading of 'judas'	2008-10-01	already found	0.0	NA	NA	2
PMLA	2009	['Kimberly W. Benston']	Experimenting at the Threshold: Sacrifice, Anthropomorphism, and the Aims of (Critical) Animal Studies	['eng']	4734	article | research-article	10.2307/25614297	0	Experimenting at the Threshold: Sacrifice, Anthropomorphism, and the Aims of (Critical) Animal Studies	2009	found	1.12	PMLA/Publications of the Modern Language Association of America	Kimberly W. Benston	15
The Review of English Studies	1928	['H. Winifred Husbands']	Summary of Periodical Literature	['eng']	2190	article | misc	10.2307/508017	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1930	['Herbert Hartman']	"The ""Intimations"" of Wordsworth's Ode"	['eng']	9092	article | research-article	10.2307/507535	0		no date	no strong match	0.8559459459459459	NA	NA	0
The Modern Language Review	1990	['Christopher Smith']	Review Article	['eng']	1197	article | book-review	10.2307/3732695	0	Die erste franzosische Aeneis: Untersuchungen zu Octovien de Saint-Gelais' Ubersetzung, mit einer kritischen Edition des VI. Buches	1990-10-01	not citable	0.0	NA	NA	0
ELH	1996	['Steven N. Zwicker']	The Paradoxes of Tender Conscience	['eng']	8611	article | research-article	10.2307/30030129	0	The Paradoxes of Tender Conscience	1996	found	1.12	ELH	S. Zwicker	5
PMLA	1966	['anonymous']	Front Matter	['eng']	807	article | misc	10.2307/460798	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	2006	['C. R. A. Gribben']	The Literary Cultures of the Scottish Reformation	['eng']	9031	article | research-article	10.2307/4095487	0	The Literary Cultures of the Scottish Reformation	2006	found	1.12	The Review of English Studies	C. Gribben	6
The Review of English Studies	2004	['Helen Moore']	Review Article	['eng']	1144	article | book-review	10.2307/3661403	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1992	['D. H. Green']	Review Article	['eng']	1924	article | book-review	10.2307/3731537	1	Wolfram von Eschenbach : Spuren, Werke, Wirkungen : kleinere Schriften 1956-1987	1992-10-01	not citable	0.0	NA	NA	1
The Modern Language Review	1958	['J. Linskill']	An Enigmatic Poem of Raimbaut de Vaqueiras	['eng']	5363	article | research-article	10.2307/3719058	1	An Enigmatic Poem of Raimbaut de Vaqueiras	1958-07-01	already found	0.0	NA	NA	1
The Modern Language Review	1982	['Peter France']	Review Article	['eng']	1195	article | book-review	10.2307/3726854	4	Reappraisals of Rousseau Studies in Honour of R. A. Leigh	1982-04-01	not citable	0.0	NA	NA	4
The Modern Language Review	2001	['K. F. Hilliard']	"Showing, Telling and Believing: Günter Grass's ""Katz und Maus"" and Narratology"	['eng']	11074	article | research-article	10.2307/3737349	0	"Showing, Telling and Believing: Günter Grass's ""Katz und Maus"" and Narratology"	2001	found	1.07	Modern Language Review	K. Hilliard	0
PMLA	2004	['Samuel R. Delany']	Joanna Russ and D. W. Griffith	['eng']	5849	article | research-article	10.2307/25486064	0	Joanna Russ and D. W. Griffith	2004	found	1.12	PMLA/Publications of the Modern Language Association of America	Samuel R. Delany	1
The Modern Language Review	1937	['Geoffrey Tillotson']	Review Article	['eng']	938	article | book-review	10.2307/3715277	6	Poor Collins. His Life, His Art, and His Influence	1937-10-01	not citable	0.0	NA	NA	6
ELH	1975	['L. J. Swingle']	Late Crabbe in Relation to the Augustans and Romantics: The Temporal Labyrinth of his tales in Verse, 1812	['eng']	6455	article | research-article	10.2307/2872495	1	Late Crabbe in Relation to the Augustans and Romantics: The Temporal Labyrinth of his tales in Verse, 1812	1975-01-24	already found	0.0	NA	NA	1
The Review of English Studies	1971	['Douglas Gray']	Review Article	['eng']	549	article | book-review	10.2307/512416	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2001	['K. F. Hilliard']	Review Article	['eng']	1269	article | book-review	10.2307/3735954	0	Unterirdische Gange: Goethe, Freimaurerei und Politik	2001-10-01	not citable	0.0	NA	NA	0
PMLA	1950	['William S. Woods']	The Symbolic Structure of la Chanson de Roland	['eng']	8153	article | research-article	10.2307/459732	1	The Symbolic Structure of La Chanson de Roland	1950-12-01	already found	0.0	NA	NA	1
PMLA	1938	['Robert G. Mahieu']	Le Theatre de Th. Gautier	['fre']	19209	article | research-article	10.2307/458414	0	Le Theatre de Th. Gautier	1938	found	1.12	PMLA/Publications of the Modern Language Association of America	R. Mahieu	0
The Modern Language Review	1939	['H. G. Atkins']	Review Article	['eng']	1037	article | book-review	10.2307/3717167	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1990	['Cynthia Stephens']	Conflicting Interpretation of Language and Reality in Borges's Narrative	['eng']	7577	article | research-article	10.2307/3732796	1	Conflicting Interpretation of Language and Reality in Borges's Narrative		already found	0.0	NA	NA	1
The Modern Language Review	1956	['D. Knowles']	Review Article	['eng']	1242	article | book-review	10.2307/3718482	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1928	['Mabel Day']	"The Revisions of ""Piers Plowman"""	['eng']	12960	article | research-article	10.2307/3713967	1	"The Revisions of ""Piers Plowman"""		already found	0.0	NA	NA	1
The Modern Language Review	2013	['Richard Parish']	Review Article	['eng']	1029	article | book-review	10.5699/modelangrevi.108.3.0970	0		no date	not citable	0.0	NA	NA	0
PMLA	2016	['SUSAN J. WOLFSON']	Yeats's Latent Keats / Keats's Latent Yeats	['eng']	12091	article | research-article	10.2307/26158865	0	Yeats's Latent Keats / Keats's Latent Yeats	2016	found	1.12	PMLA/Publications of the Modern Language Association of America	S. Wolfson	0
The Modern Language Review	1995	['Nick Groom']	Review Article	['eng']	1831	article | book-review	10.2307/3734331	541	Acts of Literature	1995-07-01	not citable	0.0	NA	NA	541
The Modern Language Review	2001	['Paul Barnaby']	Review Article	['eng']	1062	article | book-review	10.2307/3735795	2	Naturalismo e verismo		not citable	0.0	NA	NA	2
PMLA	1945	['Charles Eaton Burch']	Defoe and His Northern Printers	['eng']	4032	article | research-article	10.2307/459125	0	Defoe and his Northern Printers	1945	found	1.12	PMLA/Publications of the Modern Language Association of America	Charles Eaton Burch	0
The Review of English Studies	1995	['anonymous']	Back Matter	['eng']	3396	article | misc	10.2307/519057	0		no date	not citable	0.0	NA	NA	0
Modern Philology	2006	['Larry Scanlon']	Review Article	['eng']	1614	article | book-review	10.1086/511716	3	Sodomy, Masculinity, and Law in Medieval Literature: France and England, 1050–1230. William Burgwinkle. Cambridge: Cambridge University Press, 2004. xii+298.	2006-11-01	not citable	0.0	NA	NA	3
The Modern Language Review	2008	['Martin Durrell']	Review Article	['eng']	660	article | book-review	10.2307/20467977	4	Sprachnormenwandel im geschriebenen Deutsch an der Schwelle zum 21. Jahrhundert by Vit Dovalil (review)	2008-07-01	not citable	0.0	NA	NA	4
PMLA	1975	['Elliot L. Gilbert']	The Ceremony of Innocence: Charles Dickens' A Christmas Carol	['eng']	7726	article | research-article	10.2307/461345	9	The Ceremony of Innocence: Charles Dickens' A Christmas Carol	1975-01-01	already found	0.0	NA	NA	9
PMLA	2003	['anonymous']	Back Matter	['eng']	363	article | misc	10.2307/1261474	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1935	['L. A. Willoughby']	Review Article	['eng']	1586	article | book-review	10.2307/3715343	0	The First Part of Goethe's Faust@@@Faust, Parts One and Two@@@Goethe's Faust (Part II)@@@The Practical Wisdom of Goethe	1935-07-01	not citable	0.0	NA	NA	0
The Modern Language Review	1946	['K. W. Maurer']	Review Article	['eng']	2393	article | book-review	10.2307/3717509	0	Friedrich Holderlin: Selected Poems		not citable	0.0	NA	NA	0
The Review of English Studies	1968	['I. G. Philip']	Review Article	['eng']	621	article | book-review	10.2307/512838	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1996	['Hugo Donnelly']	Review Article	['eng']	792	article | book-review	10.2307/517972	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1939	['Ian A. Gordon']	Review Article	['eng']	1018	article | book-review	10.2307/3717717	1	Robert Burns: His Personality, His Reputation and His Art	1970-06-01	not citable	0.0	NA	NA	1
The Review of English Studies	1937	['J. Harold Wilson']	"The Dating of Rochester's ""Scaen"""	['eng']	1335	article | research-article	10.2307/509605	0	THE DATING OF ROCHESTER'S “SCAEN”	1937	found	0.9393939393939396	no journal listed	J. H. Wilson	0
The Modern Language Review	1968	['Vincent E. Bowen']	Review Article	['eng']	1920	article | book-review	10.2307/3722251	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2010	['Byron Spring']	ART AND SOCIALITY IN THOMAS BERNHARD'S MINETTI, DER THEATERMACHER, AND ALTE MEISTER	['eng']	8367	article | research-article	10.2307/25655140	0		no date	no strong match	0.88	NA	NA	0
ELH	1987	['Robert Cummings']	Windsor-Forest as a Silvan Poem	['eng']	7595	article | research-article	10.2307/2873050	8	Windsor-Forest as a Silvan Poem	1987-01-21	already found	0.0	NA	NA	8
Modern Philology	2001	['David Scott Wilson-Okamura']	Review Article	['eng']	1661	article | book-review	10.2307/439131	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	2014	['anonymous']	Back Matter	['eng']	808	article | misc	10.2307/24541167	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2006	['Charlotte Ross']	Review Article	['eng']	801	article | book-review	10.2307/20466850	5	Elusive Subjects: Biography as Gendered Metafiction		not citable	0.0	NA	NA	5
The Review of English Studies	2005	['anonymous']	Back Matter	['eng']	1243	article | misc	10.2307/3661590	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2016	['anonymous']	Abstracts	['eng']	1244	article | research-article	10.5699/modelangrevi.111.1.0307	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	2011	['Helen Abbott']	Review Article	['eng']	1558	article | research-article	10.5699/modelangrevi.106.1.0207	0		no date	not citable	0.0	NA	NA	0
PMLA	1905	['F. G. Hubbard']	Repetition and Parallelism in the Earlier Elizabethan Drama	['eng']	6066	article | research-article	10.2307/456631	7	Repetition and Parallelism in the Earlier Elizabethan Drama		already found	0.0	NA	NA	7
The Review of English Studies	2004	['Kathryn Sutherland']	Review Article	['eng']	957	article | book-review	10.2307/3661406	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1994	['Judy Simons']	Review Article	['eng']	751	article | book-review	10.2307/517861	0		no date	not citable	0.0	NA	NA	0
New Literary History	2015	['Caroline van Eck']	Works of Art That Refuse to Behave: Agency, Excess, and Material Presence in Canova and Manet	['eng']	10512	article | research-article	10.2307/24542672	0	Works of Art That Refuse to Behave: Agency, Excess, and Material Presence in Canova and Manet	2015	found	1.12	New Literary History	C. van Eck	0
The Modern Language Review	1984	['J. A. Downie']	Review Article	['eng']	1286	article | book-review	10.2307/3730139	11	Tradefull merchants: The portrayal of the capitalist in literature		not citable	0.0	NA	NA	11
The Modern Language Review	1980	['M. Kay Flavell']	Review Article	['eng']	1220	article | book-review	10.2307/3726599	0	Spellbound: Studies on Mesmerism and Literature	1979-11-01	not citable	0.0	NA	NA	0
ELH	1983	['Mary Laughlin Fawcett']	Arms/Words/Tears: Language and the Body in Titus Andronicus	['eng']	7287	article | research-article	10.2307/2872816	39	Arms/Words/Tears: Language and the Body in Titus Andronicus	1983-01-22	already found	0.0	NA	NA	39
The Review of English Studies	1971	['Anne Hudson']	A Lollard Quaternion	['eng']	4235	article | research-article	10.2307/513273	0	A LOLLARD QUATERNION	1971	found	1.12	The Review of English Studies	A. Hudson	2
Modern Philology	2002	['Tara L. Collington', 'Philip D. Collington']	"Adulteration or Adaptation? Nathaniel Lee's ""Princess of Cleve"" and Its Sources"	['eng']	14293	article | research-article	10.2307/1215730	0	"Adulteration or Adaptation? Nathaniel Lee's ""Princess of Cleve"" and Its Sources"	2002	found	1.12	Modern Philology	Tara L. Collington : P. Collington	2
The Modern Language Review	1990	['Werner Welzig']	"On Goethe's ""Unterhaltungen"""	['eng']	4964	article | research-article	10.2307/3732787	1	"On Goethe's ""Unterhaltungen"""	1990-10-01	already found	0.0	NA	NA	1
The Modern Language Review	1978	['Sheila Porrer']	Review Article	['eng']	1945	article | book-review	10.2307/3728150	11	Venus in Sackcloth: The Magdalen's Origins and Metamorphoses		not citable	0.0	NA	NA	11
The Modern Language Review	1995	['Philip E. Bennett']	Review Article	['eng']	1218	article | book-review	10.2307/3734581	9	Studies in Honor of Hans-Erich Keller: Medieval French and Occitan Literature and Romance Linguistics	1993-07-15	not citable	0.0	NA	NA	9
Critical Inquiry	1982	['Stanley Fish']	Working on the Chain Gang: Interpretation in the Law and in Literary Criticism	['eng']	8949	article | research-article	10.2307/1343280	0	Working on the Chain Gang: Interpretation in the Law and in Literary Criticism	1982	found	1.12	Critical Inquiry	S. Fish	52
The Review of English Studies	1951	['Hugh Macdonáld']	Review Article	['eng']	655	article | book-review	10.2307/511042	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1966	['G. R. Hibbard']	Review Article	['eng']	1263	article | book-review	10.2307/3724051	0		no date	not citable	0.0	NA	NA	0
The Review of English Studies	1994	['W. J. B. Owen']	Review Article	['eng']	1236	article | book-review	10.2307/518198	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1975	['Charles V. J. Russ']	Review Article	['eng']	552	article | book-review	10.2307/3725712	0		no date	not citable	0.0	NA	NA	0
PMLA	2014	['Thomas Claviez']	Reply	['eng']	735	article | research-article	10.2307/24769433	0		no date	not citable	0.0	NA	NA	0
Modern Philology	1983	['R. G. Peterson']	Review Article	['eng']	1372	article | book-review	10.2307/437105	0		no date	not citable	0.0	NA	NA	0
The Modern Language Review	1980	['Albert H. Tricomi']	Two Letters concerning George Chapman	['eng']	4841	article | research-article	10.2307/3727667	1	Two Letters concerning George Chapman	1980-04-01	already found	0.0	NA	NA	1
