,author,record_count,record_enumerated,viaf_title_list,birthdate,title_list
14,['SUSAN GILLMAN'],1,0,"['American Mediterraneans : a study in geography, history, and race', 'Blood talk : American race melodrama and the culture of the occult', 'Dark twins, 1989:', ""Dark twins : imposture and identity in Mark Twain's America"", 'Mark Twain\'s ""Pudd\'nhead Wilson"" : race, conflict, and culture', 'Neither the time nor the place : the new nineteenth-century American studies', 'Next to the color line : gender, sexuality, and W.E.B. Du Bois', 'States of emergency / ed. by Russ Castronovo and Susan Gillman. - Chapel Hill, cop. 2009.', 'States of emergency : the object of American studies']",1952,
15,['Roger Stephenson'],3,0,"['Friedrich Nietzsche and Weimar classicism, 2005:', ""Goethe 2000 : intercultural readings of his work : papers presented at the University of Glasgow's Centre for Intercultural Germanistics, 19-21 April 1999"", ""Goethe's conception of knowledge and science"", ""Goethe's wisdom literature, 1983"", 'The persistence of myth as symbolic form : proceedings of an international conference held by the Centre for Intercultural Studies at the University of Glasgow, 16-18 September 2005', 'Studies in Weimar classicism : writing as symbolic form', 'The way of the world : a Festschrift for R. H. Stephenson']",1946-11-05,Schiller as Philosopher: A Re-Examination@@@Schiller's 'On Grace and Dignity' in Its Cultural Context: Essays and a New Translation@@@Schiller und die Tradition des Erhabenen
16,['Roger Stephenson'],3,1,"['Fate of pharmaceuticals and personal care products through municipal wastewater treatment processes, 2006:']",0,Schiller as Philosopher: A Re-Examination@@@Schiller's 'On Grace and Dignity' in Its Cultural Context: Essays and a New Translation@@@Schiller und die Tradition des Erhabenen
17,['Roger Stephenson'],3,2,[],1850,Schiller as Philosopher: A Re-Examination@@@Schiller's 'On Grace and Dignity' in Its Cultural Context: Essays and a New Translation@@@Schiller und die Tradition des Erhabenen
18,['George McFadden'],7,0,"['Discovering the comic', 'Dryden : the public writer, 1660-1685', 'Greece / Cyprus / Italy / Tunisia']",1916,“Life Studies”—Robert Lowell's Comic Breakthrough
19,['George McFadden'],7,1,"['The inventive life of George H. McFadden, 2024:']",1907-04-21,“Life Studies”—Robert Lowell's Comic Breakthrough
20,['George McFadden'],7,2,"['Blocking and hitting', 'Good-night, Dinny, and God bless you [SR] 1919?:']",0,“Life Studies”—Robert Lowell's Comic Breakthrough
21,['George McFadden'],7,3,['Short rotation intensive culture management ... 1985'],0,“Life Studies”—Robert Lowell's Comic Breakthrough
22,['George McFadden'],7,4,[],1847-07-24,“Life Studies”—Robert Lowell's Comic Breakthrough
23,['George McFadden'],7,5,[],0,“Life Studies”—Robert Lowell's Comic Breakthrough
24,['George McFadden'],7,6,[],1941,“Life Studies”—Robert Lowell's Comic Breakthrough
25,['John L. Stewart'],10,0,"['Circuit analysis of transmission lines', 'Circuit theory and design', 'Ernst Krenek : eine kritische Biographie', 'Ernst Krenek : the man and his music', 'The essay; a critical anthology.', 'Exposition for science and technical students', 'Fundamentals of signal theory', 'Horizons circled : reflections on my music', 'John Crowe Ransom', 'John Muir College, 1978:', 'A theory and physical model for cochlear mechanics', 'Top of the Pops (clár BBC)', 'بهترین\u200cهای پاپ', 'توب أوف ذا بوبس', 'টপ অব দ্য পপ্\u200cস', 'ท็อปออฟเดอะป็อปส์', '탑 오브 더 팝스', 'トップ・オブ・ザ・ポップス', '流行之巅']",1917-11-07,Robert Penn Warren and The Knot of History
26,['John L. Stewart'],10,1,"['The Cattle of the Gold Coast', 'Forest Flora of North-West and Central India A Handbook of the Indigenous Trees and Shrubs of those Countries', 'Geologic map of the Panama Canal and vicinity, Republic of Panama', 'Handbook on Canadian company law', 'Mapa geológico del Canal de Panamá y sus alrededores, República de Panamá, espagnol ; castillan', 'Punjab plants, comprising botanical and vernacular names, and uses of most of the trees, shrubs, and herbs of economical value, growing within the Province : intended as a hand-book for officers and residents in the Punjab']",1832,Robert Penn Warren and The Knot of History
27,['John L. Stewart'],10,2,"['The bionic ear, c1979:', 'Circuit analysis of transmission lines', 'Circuit theory and design', 'The forbidden diary : a B-24 navigator remembers', ""Fremont's greatest western exploration, c1999-:"", 'Fundamentals of signal theory', 'Linie przesyłowe / J. L. Stewart. - Warszawa, 1962.', 'Rheumatism in populations', 'The sulphonamides and antiobiotics in man and animals', 'Theorie und Entwurf elektrischer Netzwerke', 'A theory and physical model for cochlear mechanics']",1925,Robert Penn Warren and The Knot of History
28,['John L. Stewart'],10,3,"['Company law of Canada, 1962:', 'Fraser & Stewart']",1911,Robert Penn Warren and The Knot of History
29,['John L. Stewart'],10,4,"['Atlas and World War historical data of Franklin County, Indiana, 1925:']",0,Robert Penn Warren and The Knot of History
30,['John L. Stewart'],10,5,"['Ernst Krenek, c1991:CIP t.p. (John L. Stewart) data sheet (John Lincoln Stewart)']",0,Robert Penn Warren and The Knot of History
31,['John L. Stewart'],10,6,"[""burden of time the fugitives and agrarians the Nashville groups of the 1920's and 1930's, and the writing of John Crowe Ransom, Allen Tate, and Robert Penn Warren""]",0,Robert Penn Warren and The Knot of History
32,['John L. Stewart'],10,7,"['The cattle of the Gold Coast, 1937?:']",0,Robert Penn Warren and The Knot of History
33,['John L. Stewart'],10,8,[],0,Robert Penn Warren and The Knot of History
34,['John L. Stewart'],10,9,[],0,Robert Penn Warren and The Knot of History
35,['Howard Levant'],1,0,['The novels of John Steinbeck : a critical study'],0,Tortilla Flat: the Shape of John Steinbeck's Career
36,['Richard Regosin'],2,0,"['The matter of my book : Montaigne\'s ""Essais"" as the book of the self', ""Montaigne's unruly brood [...] / Richard L. Regosin. - Berkeley [etc.], 1996."", ""Montaigne's unruly brood : textual engendering and the challenge to paternal authority"", 'The poetry of inspiration : Agrippa d\'Aubigné\'s ""Les tragiques""']",1937,D'Aubigne's Les Tragiques: A Protestant Apocalypse
37,['Richard Regosin'],2,1,[],0,D'Aubigne's Les Tragiques: A Protestant Apocalypse
38,['J. D. Jones'],10,0,"['Abrahami Couleii,... Poemata latina, in quibus continentur sex libri plantarum... et unus miscellaneorum (cum praefatione T. Sprat)', ""The Bishop of Rochester's letter to the ecclesiastical commissioners, before his dismission"", ""Bishop of Rochester's second letter to the Earl of Dorset and Middlesex"", ""Bishop of Rochester's second letter to the Right Honourable the Earl of Dorset and Middlesex, Lord Chamberlain of His Majesty's houshold."", 'Een brief van den bisschop van Rochester aen den zeer eerwaerdigen graef van Dorset [...]. Wegens zyne zittinge in de gewesene kerckelycke commissie.', 'De Canaria y de las otras islas nuevamente halladas en el océano allende España (1341)', 'A discourse made by the Ld Bishop of Rochester : to the clergy of his diocese, at his visitation in the year 1695. Published at their Request.', ""Histoire de l'institution, dessein & progrès de la société royale de Londres."", 'History of the Royal Society of London', 'journey from Aleppo to Jerusalem', 'Letter from the Bishop of Rochester to ... the Earl of Dorset and Middlesex', ""L'Histoire de la société royale de Londres, establie pour l'enrichissement de la science naturelle, escrite en anglois par Thomas Sprat et traduite en françois."", 'Mr. Archdeacon, having received this order from the House of Lords, I desire ... that a copy of it be delivered to the several incumbents within your archdeaconry.', ""Observations on Mons. de Sorbiere's Voyage into England"", 'Plague of Athens', 'Poems', 'Poetical works of Abraham Cowley ; in four volumes, from the text of Dr. Sprat etc. With the Life of the author', 'Poetry & prose.', 'The rehearsal, as it was acted at the Theatre-Royal.', 'The rehearsal. First acted 7 Dec. 1671. Published <? July> 1672. With illustrations from previous plays, etc. ...', 'A relation of the late wicked contrivance of Stephen Blackhead and Robert Young against the lives of several persons by forging an association under their hands', ""A sermon preach'd at the anniversary meeting of the Sons of the Clergy : at the Cathedral Church of St. Paul, London, on the 6th of December, 1705. By Tho. Sprat."", ""A sermon preach'd before the King at White-Hall : December the 22d. 1678. By Thomas Sprat, D. D. Chaplain in Ordinary to His Majesty, Know Lord Bishop of Rochester. Published by his Majesties Special Command."", ""A sermon preach'd to the natives of the county of Dorset, residing in and about the cities of London and Westminster, at St. Mary Le Bowe, on Dec. 8, 1692, being the day of their anniversary feast"", 'A sermon preached before the Artillery Company of London at St. Mary Le Bow, April 20, 1682', 'A sermon preached before the honourable House of Commons at St. Margarets Westminster, January 30th 1677/8', 'A sermon preached before the King and Queen, at Whitehall, on Good-Friday, April 6, 1694', '[Sermons preached on several occasions.', 'Some account of the life and writings of the Right Reverend Father in God, Thomas Sprat, D.D., late lord biship of Rochester, and dean of Westminster. With a true copy of his last will and testament', 'Three poems upon the death of the late usurper Oliver Cromwel, 1659 :', 'To the happie memory of the most renowned Prince Oliver, Lord Protector', ""To the Right Honourable my Lords of his Majesty's commission ecclesiastical : I most humbly intreat your Lordships favourable, of what I now write, that since your Lordships, are resolved to proceed against those, who have not complyed with the Kings Command, in reading his declarational. It is absolutely impossible, for me to serve His Majesty any longer, in this Commission ... I am your Lordships, most faithful, and obedient servant"", ""true account and declaration of the horrid conspiracy against the late king, His present Majesty, and the government: as it was order'd to be published by His late Majesty."", 'De viris illustribus', 'A voyage to England, containing many things relating to the state of learning, religion, and other curiosities of that kingdom', ""Een waerachtigh verhael van de afgrijsselijcke t'samensweeringh tegen den laetstoverledene koningh van Engeland, sijn tegenwoordige Majesteyt ende regeeringh : Uytgegeven door speciale last van sijn overledene Majesteyt."", 'Works.', ""The works of Mr. Abraham Cowley. Consisting of those which were formerly printed: and those which he design'd for the press; now published out of the authors original copies."", 'works of the British poets. With prefaces, biographical and critical. By Robert Anderson, M. D. Volume sixth ; containing Dryden, Rochester, Roscommon, Otway, Pomfret, Stepney, Philips (J.), Walsh, Smith, Duke, King, Sprat, and Halifax.', 'The Works Of The Poets Of Great Britain And Ireland.']",1635,
39,['J. D. Jones'],10,1,"['.45 kid', 'Bad Men of Texico', 'Bandietentemmer', 'Bandit Tamer', 'Bells of san felice', 'Bloedbroeders', 'Bloedgeld', 'Buffalo Head', 'Bullet-proof cowboy', 'Colorado-Western-Story', 'Cross Kady', 'Desperados von Indianola', 'Dodelijke finale', 'Dodenrit.', 'De dood dreigt', 'Dood van een paria', 'Dry Gulchers Creek', 'De Duivels canyon', 'Dust devils', 'Galgenaas', 'Het geheim van de Circle 50', 'Geier von Arizona Wildwestroman', 'De genadeslag', 'Getaway Trail', 'Gevarenspel', 'Gold aus Canyon City', 'Gouddorst en kruitdamp', 'Greasewood Sink', 'grosse Stern Wildwestroman', 'Guns on the Chugwater', 'Hang the cowboy high', ""Hangman's Bait"", 'Harde leermeesters', 'Hombres malos de Texico', 'Horse thief trail', 'Irrfahrt zur Venus Zukunftsroman', 'Kämpfen oder Untergehen', 'Killers ride fast', 'Krallenhand', 'Lariat law', 'Lasso', 'De man met het buffelmasker', 'Marder vom Jade Creek', 'Mesa springs', 'Montana ruiter', 'Monument pass', 'Moordaanslag', 'Moordenaars rijden snel', 'Moordend lood', 'Nachtruiters', 'Nachtsheriff', 'Navajo trader', 'Night Marshal', ""Off to Montan'"", 'Onder kruisvuur', 'Onder schot', 'Op naar Montana', 'Opdracht des doods.', 'Open kaart', 'Open Range', 'Opgejaagd', 'Outlaws of Jade Creek', 'Pabel-Wildwest-Romane', 'Een ""prul"" van een cowboy', 'Rache für Chihuahua', 'Ranch der verschrikking', 'Raubschatz in den Puma-Bergen', 'Het recht van het westen', 'Red Rock der Banditenjäger', ""Renegades' Den"", 'Revolverrauch in Pistol', 'Ride the Last Mile', 'Rider from Rifle Rock', 'River Rascals', ""Rondo's man"", 'rote Jim', 'De sheriff van het Lobo district (Lobo Country)', 'Short Rope for Rustlers', 'Showdown at Unitaw', 'Solitary Slim', 'Strijd om de postkoets', 'Sturmritt von der Wildpferd-Mesa', 'Thief Killer', 'Tot het bittere einde', 'Two-Bit Puncher', 'Two Guns, Arizona.', 'Unbeugsamen', 'Unsichtbare Gegner', 'Veedieven in Arizona', 'verlorene Tal', 'Voor veedieven ... de strop!', 'Wanhoopsdaad', 'Western Justice', 'X-Handled Gun', ""Een zware opdracht = Spurtin' lead""]",1903-09-04,
40,['J. D. Jones'],10,2,"['The archives of the French Protestant Church of London : a handlist', 'Conflict of laws', 'Cumulated fiction index.', 'Global HIV/AIDS politics, policy, and activism : persistent challenges and emerging issues', 'A guide to the records of the Corporation of London Records Office and the Guildhall Library Muniment Room', 'Information Service in Libraries', 'The last writings of Reginald Garrigou-Lagrange ; transl. by Raymond Smith and Rod Gorton', 'The living city : a new view of the City of London', 'The Negro family in British Guiana', 'The pictorial history of the City of London, ""The one square mile""', 'Records of the Royal Bounty and connected funds, the Burn donation, and the Savoy Church in the Huguenot Library, University College, London : a handlist', 'Sea-coal for London. History of the coal factors in the London market....', ""Whitehead's concept of logic ...""]",1890-12-12,
41,['J. D. Jones'],10,3,"[""Augmentation de la température de fonctionnement d'une pile à combustible par synthèse de nouveaux matériaux conducteurs protoniques"", 'Catalysts for H2/O2 producer device.', 'Co-localized AFM/Raman characterization of multiphase polymer systems.', 'Conception et développement de membranes bipolaires avec interface tridimensionnelle.', 'Copper-containing monodisperse mesoporous silica nanospheres by a smart one-step approach.', ""Développement d'un électrolyte solide pour application piles à combustible fonctionnant entre 100°C et 200°C à faible humidité relative : Le composite polyimide/SiO2-B2O3-P2O5"", ""Développement et optimisation de matériaux d'électrodes et d'électrolytes, pour cellules PCFC"", 'Elaboration and characterisation of different proton conducting materials for an application as electrolyte in a proton ceramic fuel cell functioning between 400-700°C.', 'Elaboration de membranes composites et membranes hybrides à base de polyéthercetone et de polybenzimidazole : Application pour pile à combustible à moyenne température (80-150°C)', ""Elaboration d'électrodes de piles à combustible à membrane par un procédé de transfert de couches catalytiques"", ""Étude de la dégradation de membranes perfluorosulfonées de pile à combustible et développement d'approches de remédiation."", ""Étude et optimisation des phases de démarrage et d'arrêt des piles à combustible de type PEM haute température en vue de maximiser leur durée de vie"", ""Fondements de la déshydrogénation partielle : étude théorique et expérimentale sur un nouveau combustible Méthode de traitement pour générer de l'hydrogène à partir de Jet Fuel"", ""Génération d'hydrogène à haute pureté par déshydrogénation partial catalytique des carburants."", 'Hollow microspheres with a tungsten carbide kernel for PEMFC application', 'Impact and optimization of microporous ageing water management in fuel cells.', 'Impact et optimisation des microporeux sur le vieillissement et la gestion en eau en pile à combustible', 'Improvment of diesel quality by catalytic processes.', 'Innovative catalysts for diesel improvement', 'Intercalation et échange ionique dans les oxydes de manganèse lamellaires. Formation de mésophases oxydes de manganèse-alkylamine', 'Investigation of the electrocatalytic oxidation of ethanol under high temperature polymer electrolyte fuel cell conditions.', 'Ionomer membranes reinforced with electrospun nanofibres for fuel cell and electrolysis applications.', 'Matériaux pour électrolyseur à membrane électrolyte protonique', ""Membranes ionomères renforcées par des nanofibres obtenues par électrofilage pour piles à combustible et l'électrolyseur"", 'nanocomposite electrodes for proton exchange membrane fuel cell at high temperature.', 'Nanostructured hybrid ionomer membranes for hydrogen PEMFC.', 'Negligible degradation upon in situ voltage cycling of a PEMFC using an electrospun niobium-doped tin oxide supported Pt cathode.', 'New Fluorinated co-polymers Bearing Azole functions (Imidazole, Benzimidazole or Triazole) for PEMFC membranes Working Under Low Relative Humidity.', 'Nouveaux copolymères fluorés porteurs de fonctions azole (imidazole, benzimidazole ou triazole) pour membranes pour piles à combustible (PEMFC) fonctionnant en conditions quasi-anhydres', ""Nouveaux matériaux mésoporeux catalytiques et leur application pour l'amélioration du gazole"", 'Nouvelles électrodes pour électrolyseurs H2/O2', 'Novel mixed protonic-electronic materials : Development of selective membranes devoted for hydrogen separation.', 'Nursing staff appraisal in the Health Service : a study of the system : final report to the National Staff Committee for Nurses and Midwives, April 1976', 'Optimal microstructure architecture design of porous electrodes for solid oxide fuel cells.', ""Optimisation d'architecture d'électrode poreuse pour pile à combustible à oxyde solide"", 'Optimized synthesis of Fe/N/C cathode catalysts for PEM fuel cells: a matter of iron-ligand coordination strength.', ""Oxydes et phosphates mésoporeux fonctionnels : préparation, caractérisation et application dans la conversion des oxydes d'azote"", 'Performances et durabilité des membranes alternatives aux membranes PFSA', 'Preparation and characterisation of sulfonated polybenzimidazoles : Novel electrolyte membranes for fuel cells PEMFC.', 'Préparation de cathodes FeNC autosupportées par filage électrostatique pour piles à combustible.', 'PreTest NCLEX/CAT-RN : self-assessment and review', 'Production of hydrogen by catalytic partial dehydrogenation of hydrocarbon fuels', 'Promising aquivion composite membranes based on fluoroalkyl zirconium phosphate for fuel cell applications.', 'Proton-conducting Fuel Cell : Development, Optimisation of materialsElaboration of single cells operating in the 400-600 °C temperature range.', 'Self-standing Fe-N-C cathodes prepared by electrospinning for fuel cells', 'Single step elaboration of size-tuned Pt loaded titania nanofibres.', 'Strong metal-support interaction improves activity and stability of Pt electrocatalysts on doped metal oxides', 'Study of the degradation of perfluorosulfonic acid fuel cell membranes and development of mitigation strategy', 'Study of the dynamics of electrolytes based on redox ionic liquids for supercapacitor application.', 'Supports de Catalyseur Nanostructurés pour Pile à Combustible à Membrane Échangeuse de Protons', 'Sustainable wastewater treatment coupled to hydrogen production with microbial-electrochemical technology.', 'Synergy between molybdenum nitride and gold leading to platinum-like activity for hydrogen evolution', 'Synthèse et caractérisation de catalyseurs sans platine pour pile à combustible PEM.', 'Synthèse et caractérisation de sphères monodisperses de silice à porosité radiale (multi)fonctionnelles et étude de leur performance en catalyse en phase liquide et en vectorisation de principes actifs.', ""Synthèse et caractérisation d'hybrides organiques-inorganiques obtenus par intercalation de molécules électroactives dans le phosphate de zirconium"", 'Synthesis and Characterization of Platinum-free Catalysts for Proton Exchange Membrane Fuel Cell', ""Technologie électro-microbienne pour le traitement des eaux usées couplé à la récupération d'hydrogène"", 'Thin Metal Structures and Metal Oxide Supports for Durable Ultra-Low PGM Fuel Cell Cathodes.', 'Thomas Lodge and other Elizabethans', '""Twice around the moon"", 1996:', 'The vegetarian grill, 1992:', 'What we stood for : the story of a Revolutionary black woman']",0,
42,['J. D. Jones'],10,4,"['Brief van Tjitte Haring Redbad Piebenga (1935-2007) aan Durk van der Ploeg (1930-)', 'Ga eens Fries eten!!', 'Gedichten, voorgelezen door Tjitte Piebenga.', 'Har sliepen', 'Hjerstich hús', 'It lyk wurdt oantaast : (anatomy fan in houlik)', 'Mei soarch en omtinken', 'Mislearre spekulaesje', 'Moaije Peal : limericks en tekeningen', 'Monumenten in Friesland', 'Muorreskilderingen fan Walter en v.d. Bij yn Legere skoalle to Wendum. Kunstsinnich, mar ek ynstruktyf wurk', 'My Softgreen Little Girl', 'Myn sêftgrien famke', ""Na een maand 'Friesland-post menu'"", 'De nachtkuyer', 'Nammen', 'Neibloei fan de romantyk', 'Nettsjinsteande', 'Nije fersen fan Harmen Wind. Wol moaier, net better', 'Nivera', 'De Njoggenskots', 'Nog één maal de affaire Nauta-Piebenga-Tsjerne', ""Nou't de RON de RONO wurden is binne der mear mooglikheden"", 'Oer forhâlding tusken minsken en bisten rinne sterke forhalen', 'Oerein, myn folk!', 'Omke Douwe..', 'Ook Luther liet het zich goed smaken', ""Op 'e kear"", ""Op 'e skouders fan Dylan Thomas"", 'Op it Haerspit. Rients. Wol of nét. Hegere Kriichskoalle', 'Opmerkingen bij een vermeende radijs', 'Paleoöntoûnlogyske', 'De pastoar', 'PC-koarts', 'Peaske 58', 'Peins', 'Peulvruchten', ""Piter Jellema fan Sweins is in ekspert op natûr-gebiet. Mei so om op 'e rêch oer de sleatten"", 'Poetysk proaza fan surrealist Josse de Haan. In prachtich krekt-net.', 'De poëtyske krêft fan it baaipak', 'Poëzy as remeedzje, treast en ûntwyk : in prachtige tinkstien foar Tsjits Peanstra', '[Referaat oer Hessel Miedema, mei sitaten, literatuerlist en fotokopyen fan teksten fan Miedema', 'Reinder van der Leest hat in tige boarlik boartersbûkje skreaun', 'Reportaazje oer in gearkomste fan It Skriuwersboun mei Tjitte Piebenga, Diet Huber, Rink van der Velde, Tiny Mulder en Jo Smit', 'Resept', 'réveille foar bianca', 'Rink van der Velde op syn bêst', 'De rokken fan Aukje', 'De rook fan mesjester', 'Roundiel foar in nicht oan memme kant. It ljocht op dyn hier', 'Sammele wurk', 'Simmerjoun-sankje', ""Sjoerd Leiker probeerde een 'honnête homme' te zijn"", '[Skriften mei lessen skiednis en aardrijkskunde fan Tjitte Piebenga', 'Slieppillen', 'De snelle mammoet-burger', 'Sonnetten van de smalle waan', 'Spiegel van de surrealistische poëzie in het Nederlands', 'spultsje fan neat', 'De stapstiennen fan in kameleon', 'Sterke stikken', 'Tarzan en de sé', '[Tekenwurk', 'Thema fan Anne Wadman: It forliezerskip', 'De thermen fan Karratsjana', 'Tijdskriften', 'Tradysje', 'De trije greate slaedtsjes', 'Trije harkspullen', 'Tsjuchskrift fan ûnvormogen', 'Uit het bord geklapt', ""Uitgelezen Friese menu's..."", 'Undertekst en fertuten : nije fersen fan Albertina Soepboer', 'De ûre', 'Ut de wûndere útdragerij : nije lêsfoarmen', 'Wa is bang foar Virginia Woolf : toanielstik yn trije bedriuwen', 'Wat in man net witte kin', 'Watze Cuperus it foarbyld fan de engagearre skriuwer', 'Weitsrop', 'De wierheid en de dreamskacht', 'winter', ""Winterdeis is ús eilân himsels, sizze de lju, dy't op Skylge wenje. Som fart de 'Holland' nei in skip"", 'Wjokslach yn Wifelljocht', ""Yn 'e aep útfanhûs"", 'Ynstjoerd', '[Ynterview mei Tjitte Piebenga oer syn heit Haring Tjittes Piebenga]']",1935-08-12,
43,['J. D. Jones'],10,5,"['At the crossroads', 'Bantu studies ; a journal devoted to the scientific study of Bantu, Hottentot, and Bushman.', 'Bantu studies and general South African anthropology', 'Bushmen of the southern Kalahari', 'Cape franchise and Bantu status', 'Coopers Grammatica linguae anglicanae (1685)', 'An economic and social policy for the Union with special reference to the African people', 'The first liberal, c1990:', 'The future of South-West Africa.', 'J. D. Rheinallt Jones papers', 'Social and economic conditions of native life in the Union of South Africa : findings of the Native Economic Commission, 1930-1932', 'South Africa faces UNO', ""The union's burden of poverty"", 'Village education in Africa: report of the Inter-territorial ""Jeanes"" conference, Salisbury, S. Rhodesia']",1884,
44,['J. D. Jones'],10,6,"['Creep and fracture of engineering materials and structures', 'Creep behaviour of crystalline solids', 'Creep of metals and alloys', 'Engineering approaches to high temperature design', 'Introduction to creep, 1993:', 'Technological and economic trends in the steel industries, 1982:']",1944-03-30,
45,['J. D. Jones'],10,7,"['A Clutch of curious characters, 1984:', 'The condition of muzak : a Jerry Cornelius novel', 'Cybersex', 'The English assassin : a romance of entropy', 'giant book of dangerous women', 'Love is strange', 'Mammoth book of murder', 'Mammoth book of women who kill', 'The Penguin book of erotic stories by women, 1996:', 'Solved! : famous mystery writers on classic true-crime cases', 'Still unsolved, 1990:', 'This fish is loaded : the book of surreal and bizarre humor']",1946,
46,['J. D. Jones'],10,8,"['AIDS : abstracts of the psychological and behavioral literature, 1983-1989', 'Homelessness', 'Negotiating disability, 2017:', 'New roads to faith. Black perspectives in Church education....', 'Prejudice and racism', 'The psychology of diversity, 2013:']",0,
47,['J. D. Jones'],10,9,"['ABC of colorectal diseases', ""Application of the method of lines to the solution of elliptic partial differential equations = Application de la méthode des lignes à la resolution d'équations différentiales partielles elliptiques / by D. J. Jones, J. C. South, Jr."", 'Catch comparison of lobster traps equipped with two types of escape mechanisms', 'Cone flow calculations', 'The interaction of lobster, scallop, and Irish moss fisheries off Borden, Prince Edward Island', 'A numerical determination of the bow shock wave in transonic axisymmetric flow about blunt bodies', 'Numerical solutions of the flow field for conical bodies in a supersonic stream', 'The Opelousas courier.', 'P-3 Orion : le chasseur des mers', 'Tables of inviscid supersonic flow about circular cones at incidence, <gamma> = 1.4', 'Three-dimensional flow separation of a plane, incompressible, laminar boundary layer caused by a half-delta wing on a flat plate', 'Time marching numerical solution of the dynamic response of nonlinear systems', 'Two-dimensional wind tunnel wall interference']",0,
48,['Nicole Jerr'],5,0,['(The) scaffolding of sovereignty'],0,"Strauss, Jonathan.Private Lives, Public Deaths: Antigone and the Invention of Individuality. New York: Fordham University Press, 2013. $90.00 (cloth); $24.00 (paper). 216 pp."
49,['Nicole Jerr'],5,1,"[""Ancient apostasy, modern drama : Henrik Ibsen's Emperor and Galilean""]",0,"Strauss, Jonathan.Private Lives, Public Deaths: Antigone and the Invention of Individuality. New York: Fordham University Press, 2013. $90.00 (cloth); $24.00 (paper). 216 pp."
50,['Nicole Jerr'],5,2,[],0,"Strauss, Jonathan.Private Lives, Public Deaths: Antigone and the Invention of Individuality. New York: Fordham University Press, 2013. $90.00 (cloth); $24.00 (paper). 216 pp."
51,['Nicole Jerr'],5,3,[],0,"Strauss, Jonathan.Private Lives, Public Deaths: Antigone and the Invention of Individuality. New York: Fordham University Press, 2013. $90.00 (cloth); $24.00 (paper). 216 pp."
