author,data
['Robert Emmett Finnegan'],Result for ['Robert Emmett Finnegan']
['Raymond Furness'],Result for ['Raymond Furness']
['BILL BURGWINKLE'],Result for ['BILL BURGWINKLE']
['Paul Bishop'],Result for ['Paul Bishop']
['Stephen Henighan'],Result for ['Stephen Henighan']
['P. Studer'],Result for ['P. Studer']
['R. F. Cousins'],Result for ['R. F. Cousins']
['R. Hinton Thomas'],Result for ['R. Hinton Thomas']
['Theodore Ziolkowski'],Result for ['Theodore Ziolkowski']
['Sylvère Monod'],Result for ['Sylvère Monod']
['C. Bowie Millican'],Result for ['C. Bowie Millican']
['G. Kelly'],Result for ['G. Kelly']
['William S. Clark'],Result for ['William S. Clark']
['Teresa Pinto Coelho'],Result for ['Teresa Pinto Coelho']
['Cary\u200a J. Nederman'],Result for ['Cary\u200a J. Nederman']
['Werner Huber'],Result for ['Werner Huber']
['David Womersley'],Result for ['David Womersley']
['Francis A. Wood'],Result for ['Francis A. Wood']
['H. Dugdale Sykes'],Result for ['H. Dugdale Sykes']
['G. C. Moore Smith'],Result for ['G. C. Moore Smith']
['Paul Hammond'],Result for ['Paul Hammond']
['F. Norman'],Result for ['F. Norman']
['John Morrill'],Result for ['John Morrill']
['Stephanie Le Menager'],Result for ['Stephanie Le Menager']
['Lillian Herlands Hornstein'],Result for ['Lillian Herlands Hornstein']
['H. B. Nisbet'],Result for ['H. B. Nisbet']
['C. J. Gossip'],Result for ['C. J. Gossip']
['J. C. Whitehouse'],Result for ['J. C. Whitehouse']
['Constance Miriam Syford'],Result for ['Constance Miriam Syford']
['James R. Hulbert'],Result for ['James R. Hulbert']
['William Flesch'],Result for ['William Flesch']
['Conor Fahy'],Result for ['Conor Fahy']
['Albert H. Marckwardt'],Result for ['Albert H. Marckwardt']
['Lance St John Butler'],Result for ['Lance St John Butler']
['Peter Easingwood'],Result for ['Peter Easingwood']
['P. L. Carver'],Result for ['P. L. Carver']
['Patricia Ingham'],Result for ['Patricia Ingham']
['Hugh Ormsby-Lennon'],Result for ['Hugh Ormsby-Lennon']
['A. C. Guthkelch'],Result for ['A. C. Guthkelch']
['R. F. Yeager'],Result for ['R. F. Yeager']
['J. P. Thorne'],Result for ['J. P. Thorne']
['William H. Matchett'],Result for ['William H. Matchett']
['Katie Trumpener'],Result for ['Katie Trumpener']
['Rachel Willie'],Result for ['Rachel Willie']
['Iris Cox'],Result for ['Iris Cox']
['J. M. S. Tompkins'],Result for ['J. M. S. Tompkins']
['Temma F. Berg'],Result for ['Temma F. Berg']
['Edmund G. Gardner'],Result for ['Edmund G. Gardner']
['D. J. A. Ross'],Result for ['D. J. A. Ross']
['Paula R. Backscheider'],Result for ['Paula R. Backscheider']
['Marion Jones'],Result for ['Marion Jones']
['Roger Cardinal'],Result for ['Roger Cardinal']
['Andrew Lincoln'],Result for ['Andrew Lincoln']
['David Novarr'],Result for ['David Novarr']
['Michelangelo Picone'],Result for ['Michelangelo Picone']
['Oswald Doughty'],Result for ['Oswald Doughty']
['William Myers'],Result for ['William Myers']
['Whitney J. Oates'],Result for ['Whitney J. Oates']
['Elizabeth Boa'],Result for ['Elizabeth Boa']
['Murray Smith'],Result for ['Murray Smith']
['John Robert Moore'],Result for ['John Robert Moore']
 don bialostosky,Result for  don bialostosky
['Robert Russell'],Result for ['Robert Russell']
['Andrew Tate'],Result for ['Andrew Tate']
 m a partridge,Result for  m a partridge
['John S. Kenyon'],Result for ['John S. Kenyon']
['Leah Scragg'],Result for ['Leah Scragg']
['Berel Lang'],Result for ['Berel Lang']
['Gerald Stone'],Result for ['Gerald Stone']
['GILLIAN SILVERMAN'],Result for ['GILLIAN SILVERMAN']
['Stephen Parkinson'],Result for ['Stephen Parkinson']
['Michael Shinagel'],Result for ['Michael Shinagel']
['Patricia Parker'],Result for ['Patricia Parker']
['Elmer Edgar Stoll'],Result for ['Elmer Edgar Stoll']
['William J. Rankin'],Result for ['William J. Rankin']
['Stephen Hutchings'],Result for ['Stephen Hutchings']
['Stanley Cavell'],Result for ['Stanley Cavell']
['Peter Milward'],Result for ['Peter Milward']
['Michael Irwin'],Result for ['Michael Irwin']
['Edith S. Hooper'],Result for ['Edith S. Hooper']
['THOMAS PETTITT'],Result for ['THOMAS PETTITT']
['Günter Berghaus'],Result for ['Günter Berghaus']
['Antonio Fama'],Result for ['Antonio Fama']
['C. J. Rawson'],Result for ['C. J. Rawson']
['J. S. Ryan'],Result for ['J. S. Ryan']
['James Obelkevich'],Result for ['James Obelkevich']
['David C. Fowler'],Result for ['David C. Fowler']
['Robert M. Dowling'],Result for ['Robert M. Dowling']
['Jeffrey L. Sammons'],Result for ['Jeffrey L. Sammons']
['Carolyn P. Collette'],Result for ['Carolyn P. Collette']
['K. H. Francis'],Result for ['K. H. Francis']
['Donald F. Bond'],Result for ['Donald F. Bond']
['László Sándor Chardonnens'],Result for ['László Sándor Chardonnens']
['Merritt Y. Hughes'],Result for ['Merritt Y. Hughes']
['Alexander Gelley'],Result for ['Alexander Gelley']
['K. Rockett'],Result for ['K. Rockett']
['Robert David Aguirre'],Result for ['Robert David Aguirre']
['M. M. Liberman'],Result for ['M. M. Liberman']
['Nicholas G. Round'],Result for ['Nicholas G. Round']
['W. E. Yuill'],Result for ['W. E. Yuill']
['Douglas Mao'],Result for ['Douglas Mao']
['Jay Schleusener'],Result for ['Jay Schleusener']
 david tracy,Result for  david tracy
['Sarah Carpenter'],Result for ['Sarah Carpenter']
['Paul H. Phillipson'],Result for ['Paul H. Phillipson']
['Kevin McCarron'],Result for ['Kevin McCarron']
"[""DAVID O'SHAUGHNESSY""]","Result for [""DAVID O'SHAUGHNESSY""]"
['Arnold McMillin'],Result for ['Arnold McMillin']
['Judith Wilt'],Result for ['Judith Wilt']
['Carolyn G. Heilbrun'],Result for ['Carolyn G. Heilbrun']
['Michael Minden'],Result for ['Michael Minden']
['Daniel Siegel'],Result for ['Daniel Siegel']
['Dorothy M. Hoare'],Result for ['Dorothy M. Hoare']
['Melissa Percival'],Result for ['Melissa Percival']
['W. David Shaw'],Result for ['W. David Shaw']
['Richard Shusterman'],Result for ['Richard Shusterman']
['Ken Hirschkop'],Result for ['Ken Hirschkop']
['KENNETH HODGES'],Result for ['KENNETH HODGES']
['George Watson'],Result for ['George Watson']
 trevor jones,Result for  trevor jones
['George R. Havens'],Result for ['George R. Havens']
['Peter Berek'],Result for ['Peter Berek']
['Sophie Gilmartin'],Result for ['Sophie Gilmartin']
['Roger Dalrymple'],Result for ['Roger Dalrymple']
['Osman Durrani'],Result for ['Osman Durrani']
['A. J. Bliss'],Result for ['A. J. Bliss']
['Walter L. Bullock'],Result for ['Walter L. Bullock']
['E. D. Hirsch Jr.'],Result for ['E. D. Hirsch Jr.']
['Daniel Brewer'],Result for ['Daniel Brewer']
['Chantal Mouffe'],Result for ['Chantal Mouffe']
['Evan Horowitz'],Result for ['Evan Horowitz']
['Leslie Seiffert'],Result for ['Leslie Seiffert']
['J. D. Jump'],Result for ['J. D. Jump']
['Celia Britton'],Result for ['Celia Britton']
['Julian Graffy'],Result for ['Julian Graffy']
['J. A. Burrow'],Result for ['J. A. Burrow']
['R. C. Horne'],Result for ['R. C. Horne']
['Lee Stavenhagen'],Result for ['Lee Stavenhagen']
['A. T. MacAllister'],Result for ['A. T. MacAllister']
['Peter Uwe Hohendahl'],Result for ['Peter Uwe Hohendahl']
['Helen Thompson'],Result for ['Helen Thompson']
['Peter McDonald'],Result for ['Peter McDonald']
['Rosemari Baker'],Result for ['Rosemari Baker']
['Clare Brant'],Result for ['Clare Brant']
['Malcolm Carroll'],Result for ['Malcolm Carroll']
['Bruce Danner'],Result for ['Bruce Danner']
['Pedro Querido'],Result for ['Pedro Querido']
['Richmond Laurin Hawkins'],Result for ['Richmond Laurin Hawkins']
 leland d peterson,Result for  leland d peterson
['Talal Asad'],Result for ['Talal Asad']
['Alan Rudrum'],Result for ['Alan Rudrum']
['Edward Wilson'],Result for ['Edward Wilson']
['Barbara Heritage'],Result for ['Barbara Heritage']
['F. E. Harmer'],Result for ['F. E. Harmer']
['John Osborne'],Result for ['John Osborne']
['Adam Potkay'],Result for ['Adam Potkay']
['Fraser Neiman'],Result for ['Fraser Neiman']
['Karl D. Uitti'],Result for ['Karl D. Uitti']
['A. J. W.'],Result for ['A. J. W.']
['MICHELLE KARNES'],Result for ['MICHELLE KARNES']
['K. R. Brooks'],Result for ['K. R. Brooks']
['Jeremy Stolow'],Result for ['Jeremy Stolow']
['Peter Collister'],Result for ['Peter Collister']
['Curt F. Bühler'],Result for ['Curt F. Bühler']
['J. M. Ritchie'],Result for ['J. M. Ritchie']
['Carolyn D. Williams'],Result for ['Carolyn D. Williams']
['R. W. Frantz'],Result for ['R. W. Frantz']
['Robert Fraser'],Result for ['Robert Fraser']
['Dorothy Knowles'],Result for ['Dorothy Knowles']
['Michael Tilby'],Result for ['Michael Tilby']
['Thomas R. Hart'],Result for ['Thomas R. Hart']
['Hilary Pyle'],Result for ['Hilary Pyle']
['P. S. McGrane'],Result for ['P. S. McGrane']
['Gustave L. van Roosbroeck'],Result for ['Gustave L. van Roosbroeck']
['Simon Schaffer'],Result for ['Simon Schaffer']
['Anthony Cheal Pugh'],Result for ['Anthony Cheal Pugh']
['Ronald Berman'],Result for ['Ronald Berman']
['K. C. King'],Result for ['K. C. King']
['David Abercrombie'],Result for ['David Abercrombie']
['Elizabeth Woodrough'],Result for ['Elizabeth Woodrough']
['Leedice Kissane'],Result for ['Leedice Kissane']
['Celia Sisam'],Result for ['Celia Sisam']
['Bruce Mitchell'],Result for ['Bruce Mitchell']
['R. Hinton-Thomas'],Result for ['R. Hinton-Thomas']
['Margaret Schlauch'],Result for ['Margaret Schlauch']
['William F. Luebke'],Result for ['William F. Luebke']
['Arthur M. Sampley'],Result for ['Arthur M. Sampley']
['E. D. Pendry'],Result for ['E. D. Pendry']
['George M. Ridenour'],Result for ['George M. Ridenour']
['Nigel Ramsay'],Result for ['Nigel Ramsay']
['Carl Grey Martin'],Result for ['Carl Grey Martin']
['Edward H. Magill'],Result for ['Edward H. Magill']
 willard thorp,Result for  willard thorp
['Russell A. Elmquist'],Result for ['Russell A. Elmquist']
['Fahimeh Naseri'],Result for ['Fahimeh Naseri']
['Lawrence Marsden Price'],Result for ['Lawrence Marsden Price']
['Donald Hawes'],Result for ['Donald Hawes']
['Peter Skrine'],Result for ['Peter Skrine']
['Charles G. Whiting'],Result for ['Charles G. Whiting']
['Harry R. Warfel'],Result for ['Harry R. Warfel']
['Eleanor Galenson'],Result for ['Eleanor Galenson']
"[""Natal'ia Solov'eva""]","Result for [""Natal'ia Solov'eva""]"
['Maurice Crosland'],Result for ['Maurice Crosland']
['Andrea Lešić-Thomas'],Result for ['Andrea Lešić-Thomas']
['Geoffrey Bullough'],Result for ['Geoffrey Bullough']
['E. K. Chambers'],Result for ['E. K. Chambers']
['Samuel Rogers'],Result for ['Samuel Rogers']
['Danielle Clarke'],Result for ['Danielle Clarke']
['Philip Thody'],Result for ['Philip Thody']
['John Carey'],Result for ['John Carey']
['B. D. Wright'],Result for ['B. D. Wright']
['Philip Le Brun'],Result for ['Philip Le Brun']
['A. D. Nuttall'],Result for ['A. D. Nuttall']
['SARAH NOONAN'],Result for ['SARAH NOONAN']
['Lynda Hart'],Result for ['Lynda Hart']
['Alan D. McKillop'],Result for ['Alan D. McKillop']
['Michael Hattaway'],Result for ['Michael Hattaway']
['A. W. Reed'],Result for ['A. W. Reed']
['J. C. Ireson'],Result for ['J. C. Ireson']
['J. Killa Williams'],Result for ['J. Killa Williams']
['Gill Seidel'],Result for ['Gill Seidel']
['Nancy Jones'],Result for ['Nancy Jones']
['Ruth Clark'],Result for ['Ruth Clark']
 marlon jones,Result for  marlon jones
['U. C. Knoepflmacher'],Result for ['U. C. Knoepflmacher']
['Jason P. Rosenblatt'],Result for ['Jason P. Rosenblatt']
['Allen Grossman'],Result for ['Allen Grossman']
['Fred Moten'],Result for ['Fred Moten']
['E. C. Pettet'],Result for ['E. C. Pettet']
['Elaine Showalter'],Result for ['Elaine Showalter']
['G. Bonfante'],Result for ['G. Bonfante']
['Nina Baym'],Result for ['Nina Baym']
['Martina Lauster'],Result for ['Martina Lauster']
['VOLKER LANGBEHN'],Result for ['VOLKER LANGBEHN']
['Julian Preece'],Result for ['Julian Preece']
['Daniel Eisenberg'],Result for ['Daniel Eisenberg']
['Brian Wilkie'],Result for ['Brian Wilkie']
['Min Wild'],Result for ['Min Wild']
['Patrick Cullen'],Result for ['Patrick Cullen']
['Mary S. Serjeantson'],Result for ['Mary S. Serjeantson']
['Eric Colledge'],Result for ['Eric Colledge']
['Geraldine M. Scanlon'],Result for ['Geraldine M. Scanlon']
['D. K. Alsop'],Result for ['D. K. Alsop']
['Neal Oxenhandler'],Result for ['Neal Oxenhandler']
['N. Horton Smith'],Result for ['N. Horton Smith']
['Elizabeth Drayson'],Result for ['Elizabeth Drayson']
['A. B. Faust'],Result for ['A. B. Faust']
['Alex Houen'],Result for ['Alex Houen']
['Charlotte Woodford'],Result for ['Charlotte Woodford']
['John C. Blankenagel'],Result for ['John C. Blankenagel']
['Sheldon Hsiao-peng Lu'],Result for ['Sheldon Hsiao-peng Lu']
['Peggy Knapp'],Result for ['Peggy Knapp']
['Keith Williams'],Result for ['Keith Williams']
['Kathleen Tillotson'],Result for ['Kathleen Tillotson']
['G. F. Cushing'],Result for ['G. F. Cushing']
['ERIK GRAY'],Result for ['ERIK GRAY']
['Robert Reid'],Result for ['Robert Reid']
['Joan Pittock'],Result for ['Joan Pittock']
['Grace J. Calder'],Result for ['Grace J. Calder']
['Fiona Stafford'],Result for ['Fiona Stafford']
['Nigel Harkness'],Result for ['Nigel Harkness']
['R. L. Brett'],Result for ['R. L. Brett']
['Joseph Dinunzio'],Result for ['Joseph Dinunzio']
['Paul Rowe'],Result for ['Paul Rowe']
['John Cruickshank'],Result for ['John Cruickshank']
['Judith W. Page'],Result for ['Judith W. Page']
['Charlotte J. Cipriani'],Result for ['Charlotte J. Cipriani']
['Charles T. Carr'],Result for ['Charles T. Carr']
['Catrin Francis'],Result for ['Catrin Francis']
['Steven E. Jones'],Result for ['Steven E. Jones']
 jr,Result for  jr
['David Clark'],Result for ['David Clark']
['Jeanne Clegg'],Result for ['Jeanne Clegg']
['H. A. Smith'],Result for ['H. A. Smith']
['Margaret Hilton'],Result for ['Margaret Hilton']
 w e c,Result for  w e c
['E. A. Southworth'],Result for ['E. A. Southworth']
['Ulrich Broich'],Result for ['Ulrich Broich']
['Rex Butler'],Result for ['Rex Butler']
['Sydney J. Krause'],Result for ['Sydney J. Krause']
['Julian W. Connolly'],Result for ['Julian W. Connolly']
['Ernest Schanzer'],Result for ['Ernest Schanzer']
['J. D. Fleeman'],Result for ['J. D. Fleeman']
['Luisa Carrer'],Result for ['Luisa Carrer']
['Hubert G. Shearin'],Result for ['Hubert G. Shearin']
 domna c stanton,Result for  domna c stanton
['Archer Taylor'],Result for ['Archer Taylor']
['Simeon Potter'],Result for ['Simeon Potter']
['Robert Morrissey'],Result for ['Robert Morrissey']
['Celesta Wine'],Result for ['Celesta Wine']
['Keith Dickson'],Result for ['Keith Dickson']
['DEBRA A. CASTILLO'],Result for ['DEBRA A. CASTILLO']
['Marie Philip Haley'],Result for ['Marie Philip Haley']
['Dieter Mehl'],Result for ['Dieter Mehl']
 page dubois,Result for  page dubois
['Robert S. Knapp'],Result for ['Robert S. Knapp']
['JANE HWANG DEGENHARDT'],Result for ['JANE HWANG DEGENHARDT']
['Walter H. French'],Result for ['Walter H. French']
['Arthur Riss'],Result for ['Arthur Riss']
['D. M. Walmsley'],Result for ['D. M. Walmsley']
['Derk Harris'],Result for ['Derk Harris']
['Geoffrey H. Hartman'],Result for ['Geoffrey H. Hartman']
['Vincent Newey'],Result for ['Vincent Newey']
['Seán Allan'],Result for ['Seán Allan']
['Theodor W. Alexander'],Result for ['Theodor W. Alexander']
['Susan Manning'],Result for ['Susan Manning']
['Otto Jespersen'],Result for ['Otto Jespersen']
['Karina von Lindeiner-Stráský'],Result for ['Karina von Lindeiner-Stráský']
['Ian F. Roe'],Result for ['Ian F. Roe']
['Joan Bennett'],Result for ['Joan Bennett']
['J. Shawcross'],Result for ['J. Shawcross']
['Jim House'],Result for ['Jim House']
['David Norbrook'],Result for ['David Norbrook']
['Richard Allen Cave'],Result for ['Richard Allen Cave']
 marianne hirsch,Result for  marianne hirsch
['N. A. Peacock'],Result for ['N. A. Peacock']
['Clive T. Probyn'],Result for ['Clive T. Probyn']
['Louis André Vigneras'],Result for ['Louis André Vigneras']
['Edwin Ardener'],Result for ['Edwin Ardener']
['Robin Howells'],Result for ['Robin Howells']
['A. J. Steele'],Result for ['A. J. Steele']
['W. I. Lucas'],Result for ['W. I. Lucas']
['Julius Freund'],Result for ['Julius Freund']
['Micheline White'],Result for ['Micheline White']
['Arthur L. Cooke'],Result for ['Arthur L. Cooke']
['Fabio Camilletti'],Result for ['Fabio Camilletti']
['Mark Darlow'],Result for ['Mark Darlow']
['Susanne Stark'],Result for ['Susanne Stark']
 cheryl spiese mckee,Result for  cheryl spiese mckee
['Jason Scott-Warren'],Result for ['Jason Scott-Warren']
['Chris Baldick'],Result for ['Chris Baldick']
['Hans Kuhn'],Result for ['Hans Kuhn']
"[""Francis O'Gorman""]","Result for [""Francis O'Gorman""]"
['J.\xa0Hillis Miller'],Result for ['J.\xa0Hillis Miller']
['Leonard Tennenhouse'],Result for ['Leonard Tennenhouse']
['Richard Terry'],Result for ['Richard Terry']
['Avrom Fleishman'],Result for ['Avrom Fleishman']
['Inga-Stina Ekeblad'],Result for ['Inga-Stina Ekeblad']
['Stan Smith'],Result for ['Stan Smith']
['F. C. Roe'],Result for ['F. C. Roe']
['S. F. Davies'],Result for ['S. F. Davies']
['Mechthild Cranston'],Result for ['Mechthild Cranston']
['Richard M. Ludwig'],Result for ['Richard M. Ludwig']
['Denis Donoghue'],Result for ['Denis Donoghue']
['Marion Shaw'],Result for ['Marion Shaw']
['A. Donald Sellstrom'],Result for ['A. Donald Sellstrom']
['Stephen Mossman'],Result for ['Stephen Mossman']
['Terry Eagleton'],Result for ['Terry Eagleton']
['Archie R. Bangs'],Result for ['Archie R. Bangs']
['Alison Saunders'],Result for ['Alison Saunders']
['ELIZABETH RODRIGUEZ FIELDER'],Result for ['ELIZABETH RODRIGUEZ FIELDER']
['Ania Loomba'],Result for ['Ania Loomba']
['Herbert Blau'],Result for ['Herbert Blau']
['John S. Coolidge'],Result for ['John S. Coolidge']
['Edmund Blunden'],Result for ['Edmund Blunden']
['Leonard F. Dean'],Result for ['Leonard F. Dean']
['V. de Sola Pinto'],Result for ['V. de Sola Pinto']
['Gary Saul Morson'],Result for ['Gary Saul Morson']
['A. Lytton Sells'],Result for ['A. Lytton Sells']
['L. F. Powell'],Result for ['L. F. Powell']
['B. A. Wright'],Result for ['B. A. Wright']
['Ralph Pite'],Result for ['Ralph Pite']
['SIMON MACDONALD'],Result for ['SIMON MACDONALD']
['Jacqueline Pearson'],Result for ['Jacqueline Pearson']
['Jenny Tyler'],Result for ['Jenny Tyler']
['Roy Harris'],Result for ['Roy Harris']
['Derek Gagen'],Result for ['Derek Gagen']
['Eugene Vance'],Result for ['Eugene Vance']
['Milton A. Buchanan'],Result for ['Milton A. Buchanan']
['Donald Sheehan'],Result for ['Donald Sheehan']
['Giuseppe Stellardi'],Result for ['Giuseppe Stellardi']
['Ad Putter'],Result for ['Ad Putter']
['Jon Beasley-Murray'],Result for ['Jon Beasley-Murray']
['Russ Castronovo'],Result for ['Russ Castronovo']
['Philip Stephan Barto'],Result for ['Philip Stephan Barto']
['A. T. Hatto'],Result for ['A. T. Hatto']
['Donald Morton'],Result for ['Donald Morton']
['George Kitchin'],Result for ['George Kitchin']
 w h bruford,Result for  w h bruford
['Robert Huntington Fletcher'],Result for ['Robert Huntington Fletcher']
['Erica Lombard'],Result for ['Erica Lombard']
['Sara James'],Result for ['Sara James']
['Haruhide Mori'],Result for ['Haruhide Mori']
['Adrien Bonjour'],Result for ['Adrien Bonjour']
['C. L. Wrenn'],Result for ['C. L. Wrenn']
['Jurgen Schafer'],Result for ['Jurgen Schafer']
['Thomas N. Corns'],Result for ['Thomas N. Corns']
['Graham Petrie'],Result for ['Graham Petrie']
['Irma S. Lustig'],Result for ['Irma S. Lustig']
